Long Dist,Lat Pos,Steering wheel angle,Gas pedal,Brake pedal,Clutch pedal,Left turn,Right turn,Gear,speed,RPM,Maneuver marker flag
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,1,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,NO
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,NO
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,1,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,1,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,1,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,1,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,1,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,1,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,1,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,1,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,1,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,1,0,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,1,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,1,0,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,1,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,1,-1,1,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,1,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,1,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,-1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
1.0,-1.0,-1.0,1,-1,0,0,0,0,1.0,1.0,YES
1.0,-1.0,-1.0,1,1,0,0,0,1,1.0,1.0,YES
